maximum,sku,Cost,Color,length,width,height,weight,title,url,review,Product detail,Return Policy,Date and Time,Brand
,ND-NIO,790,Black & White,,,,21,"NIO Chair, Ergonomic Design, Premium Office &amp; Computer Chair with adjustable features by Navodesk (Black &amp; White)",https://navodesk.com/product/nio-chair/,0,"NIO Chair, Ergonomic Design, Premium Office & Computer Chair with adjustable features by ","We deliver our Products in UAE & to other GCC countries. Shipping will be done by a third-party courier. Delivery within UAE will be in 1 – 3 working days and from 3 to 12 working Days to Other Countries depending on the location. UAE Delivery will be free for most of the products and Delivery Fees outside UAE will be mentioned on the checkout page depending on the product, country and location. Avoid any delivery delay by providing your full address along with your contact details.",Apr-28-2023 19:10:35,NAVODESK
,ND-NIO,790,Lime Green,,,,21,"NIO Chair, Ergonomic Design, Premium Office &amp; Computer Chair with adjustable features by Navodesk",https://navodesk.com/product/nio-chair/,0,"NIO Chair, Ergonomic Design, Premium Office & Computer Chair with adjustable features by ","We deliver our Products in UAE & to other GCC countries. Shipping will be done by a third-party courier. Delivery within UAE will be in 1 – 3 working days and from 3 to 12 working Days to Other Countries depending on the location. UAE Delivery will be free for most of the products and Delivery Fees outside UAE will be mentioned on the checkout page depending on the product, country and location. Avoid any delivery delay by providing your full address along with your contact details.",Apr-28-2023 19:10:35,NAVODESK
10,ND-NIO,790,Sky Grey,,,,21,"NIO Chair, Ergonomic Design, Premium Office &amp; Computer Chair with adjustable features by Navodesk sky grey",https://navodesk.com/product/nio-chair/,0,"NIO Chair, Ergonomic Design, Premium Office & Computer Chair with adjustable features by ","We deliver our Products in UAE & to other GCC countries. Shipping will be done by a third-party courier. Delivery within UAE will be in 1 – 3 working days and from 3 to 12 working Days to Other Countries depending on the location. UAE Delivery will be free for most of the products and Delivery Fees outside UAE will be mentioned on the checkout page depending on the product, country and location. Avoid any delivery delay by providing your full address along with your contact details.",Apr-28-2023 19:10:35,NAVODESK
,ND-MP3,650,Grey,,,,19.2kg,"Mobile Pedestal, 3-Drawer File Cabinet, Under desk Drawer with Castor Wheels by Navodesk (Black, Black Cushion)",https://navodesk.com/product/mobile-pedestal/,0,"Mobile Pedestal, 3-Drawer File Cabinet, Under desk Drawer with Castor Wheels by ","We deliver our Products in UAE & to other GCC countries. Shipping will be done by a third-party courier. Delivery within UAE will be in 1 – 3 working days and from 3 to 12 working Days to Other Countries depending on the location. UAE Delivery will be free for most of the products and Delivery Fees outside UAE will be mentioned on the checkout page depending on the product, country and location. Avoid any delivery delay by providing your full address along with your contact details.",Apr-28-2023 19:10:35,NAVODESK
,ND-MP3,650,White,,,,19.2kg,"Mobile Pedestal, 3-Drawer File Cabinet, Under desk Drawer with Castor Wheels by Navodesk (Black, Grey Cushion)",https://navodesk.com/product/mobile-pedestal/,0,"Mobile Pedestal, 3-Drawer File Cabinet, Under desk Drawer with Castor Wheels by ","We deliver our Products in UAE & to other GCC countries. Shipping will be done by a third-party courier. Delivery within UAE will be in 1 – 3 working days and from 3 to 12 working Days to Other Countries depending on the location. UAE Delivery will be free for most of the products and Delivery Fees outside UAE will be mentioned on the checkout page depending on the product, country and location. Avoid any delivery delay by providing your full address along with your contact details.",Apr-28-2023 19:10:35,NAVODESK
4,ND-CLOUD,855,Dark Blue,,,,17kg,"Cloud Chair, Single Seater Sofa, Lounge &amp; Waiting Chair, Modern Fabric Armchair by Navodesk (Dark Blue)",https://navodesk.com/product/cloud-chair/,0,"Cloud Chair, Single Seater Sofa, Lounge & Waiting Chair, Modern Fabric Armchair by ","We deliver our Products in UAE & to other GCC countries. Shipping will be done by a third-party courier. Delivery within UAE will be in 1 – 3 working days and from 3 to 12 working Days to Other Countries depending on the location. UAE Delivery will be free for most of the products and Delivery Fees outside UAE will be mentioned on the checkout page depending on the product, country and location. Avoid any delivery delay by providing your full address along with your contact details.",Apr-28-2023 19:10:35,NAVODESK
3,ND-CLOUD,855,Dark Grey,,,,17kg,"Cloud Chair, Single Seater Sofa, Lounge &amp; Waiting Chair, Modern Fabric Armchair by Navodesk (Dark Grey)",https://navodesk.com/product/cloud-chair/,0,"Cloud Chair, Single Seater Sofa, Lounge & Waiting Chair, Modern Fabric Armchair by ","We deliver our Products in UAE & to other GCC countries. Shipping will be done by a third-party courier. Delivery within UAE will be in 1 – 3 working days and from 3 to 12 working Days to Other Countries depending on the location. UAE Delivery will be free for most of the products and Delivery Fees outside UAE will be mentioned on the checkout page depending on the product, country and location. Avoid any delivery delay by providing your full address along with your contact details.",Apr-28-2023 19:10:35,NAVODESK
4,ND-CLOUD,855,Peacock Blue,,,,17kg,"Cloud Chair, Single Seater Sofa, Lounge &amp; Waiting Chair, Modern Fabric Armchair by Navodesk (Peacock Blue)",https://navodesk.com/product/cloud-chair/,0,"Cloud Chair, Single Seater Sofa, Lounge & Waiting Chair, Modern Fabric Armchair by ","We deliver our Products in UAE & to other GCC countries. Shipping will be done by a third-party courier. Delivery within UAE will be in 1 – 3 working days and from 3 to 12 working Days to Other Countries depending on the location. UAE Delivery will be free for most of the products and Delivery Fees outside UAE will be mentioned on the checkout page depending on the product, country and location. Avoid any delivery delay by providing your full address along with your contact details.",Apr-28-2023 19:10:35,NAVODESK
,SOLO-ND,891,All Carbon,,,,21.6,"Solo Chair, Premium Stackable High Chairs, Modern Solid wood barstool chairs for Dining &amp; Leisure, Cafe Chairs for Home &amp; Office By Navodesk",https://navodesk.com/product/solo-chair-high/,0,"Solo Chair, Premium Stackable High Chairs, Modern Solid wood barstool chairs for Dining & Leisure, Cafe Chairs for Home & Office By ","We deliver our Products in UAE & to other GCC countries. Shipping will be done by a third-party courier. Delivery within UAE will be in 1 – 3 working days and from 3 to 12 working Days to Other Countries depending on the location. UAE Delivery will be free for most of the products and Delivery Fees outside UAE will be mentioned on the checkout page depending on the product, country and location. Avoid any delivery delay by providing your full address along with your contact details.",Apr-28-2023 19:10:35,NAVODESK
4,ND-CPUH-BK,200.00,,,,,4.25kg,Under Desk CPU Holder,https://navodesk.com/product/under-desk-cpu-holder/,0," Stap-on Under Desk CPU Holder, CPU Mount, PC Holder with Sliding Track.","We deliver our Products in UAE & to other GCC countries. Shipping will be done by a third-party courier. Delivery within UAE will be in 1 – 3 working days and from 3 to 12 working Days to Other Countries depending on the location. UAE Delivery will be free for most of the products and Delivery Fees outside UAE will be mentioned on the checkout page depending on the product, country and location. Avoid any delivery delay by providing your full address along with your contact details.",Apr-28-2023 19:10:35,NAVODESK
